segment_id,division,asset_type,risk_30d,expected_downtime_days,preventive_block_duration_hrs,confidence,cold_start_fallback,overrun_probability,forecast_as_of
SEG-038,Mughal Sarai,Track,0.004957,0.03,3.16,medium,False,0.0356,2025-11-21
SEG-039,Mughal Sarai,Track,0.004189,0.053,5.15,medium,False,0.1165,2025-11-21
SEG-040,Mughal Sarai,Track,0.003068,0.015,3.65,medium,False,0.0162,2025-11-21
SEG-041,Dhanbad,Traction/OHE,0.004727,0.019,6.04,medium,False,0.03,2025-11-21
SEG-042,Dhanbad,Track,0.00593,0.046,4.18,medium,False,0.0082,2025-11-21
SEG-043,Dhanbad,S&T,0.001069,0.005,3.43,medium,False,0.0395,2025-11-21
SEG-044,Dhanbad,S&T,0.001287,0.013,3.47,medium,False,0.1449,2025-11-21
SEG-045,Dhanbad,Traction/OHE,0.009116,0.078,4.08,medium,False,0.0084,2025-11-21
SEG-046,Howrah,Traction/OHE,0.00499,0.045,7.04,medium,False,0.017,2025-11-21
SEG-047,Howrah,Traction/OHE,0.004515,0.029,3.89,medium,False,0.0059,2025-11-21
SEG-048,Howrah,Traction/OHE,0.003794,0.004,5.86,medium,False,0.0117,2025-11-21
SEG-049,Howrah,Traction/OHE,0.004743,0.049,6.49,medium,False,0.8542,2025-11-21
SEG-050,Howrah,Traction/OHE,0.003446,0.028,2.46,medium,False,0.0717,2025-11-21
SEG-051,Chennai,S&T,0.001416,0.01,2.28,medium,False,0.1076,2025-11-21
SEG-052,Chennai,Track,0.003412,0.027,2.3,medium,False,0.0759,2025-11-21
SEG-053,Chennai,Track,0.007963,0.066,3.24,medium,False,0.1659,2025-11-21
SEG-054,Chennai,Track,0.003811,0.03,2.27,medium,False,0.1421,2025-11-21
SEG-055,Chennai,Traction/OHE,0.010792,0.082,6.38,medium,False,0.0092,2025-11-21
SEG-056,Renigunta,Traction/OHE,0.005922,0.083,7.21,medium,False,0.0285,2025-11-21
SEG-057,Renigunta,Track,0.004192,0.017,4.03,medium,False,0.8759,2025-11-21
SEG-058,Renigunta,Track,0.004468,0.031,4.07,medium,False,0.0162,2025-11-21
SEG-059,Renigunta,S&T,0.001263,0.01,2.83,medium,False,0.1425,2025-11-21
SEG-060,Guntakal,Track,0.008709,0.07,4.27,medium,False,0.8734,2025-11-21
SEG-061,Guntakal,Traction/OHE,0.012015,0.111,6.29,medium,False,0.0505,2025-11-21
SEG-062,Guntakal,Track,0.006771,0.074,8.52,medium,False,0.9234,2025-11-21
SEG-063,Guntakal,Track,0.008752,0.066,6.0,medium,False,0.2,2025-11-21
SEG-064,Solapur,Track,0.016343,0.147,5.63,medium,False,0.0215,2025-11-21
SEG-065,Solapur,Traction/OHE,0.021485,0.193,3.42,medium,False,0.0231,2025-11-21
SEG-066,Solapur,Track,0.017763,0.2,7.96,medium,False,0.118,2025-11-21
SEG-067,Solapur,S&T,0.005851,0.049,6.72,medium,False,0.0312,2025-11-21
SEG-068,Pune,Track,0.006685,0.05,2.33,medium,False,0.0345,2025-11-21
SEG-069,Pune,S&T,0.002232,0.012,6.5,medium,False,0.0342,2025-11-21
SEG-070,Pune,S&T,0.002049,0.008,6.82,medium,False,0.0905,2025-11-21
SEG-071,Pune,Traction/OHE,0.008061,0.064,2.16,medium,False,0.1838,2025-11-21
SEG-072,Mumbai,Traction/OHE,0.010382,0.062,7.5,medium,False,0.0621,2025-11-21
SEG-073,Mumbai,S&T,0.003776,0.033,6.53,medium,False,0.0761,2025-11-21
SEG-074,Mumbai,Track,0.018447,0.175,6.0,low,True,0.2,2025-11-21
SEG-075,Mumbai,Traction/OHE,0.014889,0.139,4.03,medium,False,0.0426,2025-11-21
