segment_id,forecast_day,survival_probability,cumulative_failure_probability
SEG-003,24,0.995821,0.004179
SEG-003,25,0.995647,0.004353
SEG-003,26,0.995472,0.004528
SEG-003,27,0.995298,0.004702
SEG-003,28,0.995123,0.004877
SEG-003,29,0.994949,0.005051
SEG-003,30,0.994774,0.005226
SEG-004,1,0.999931,6.9e-05
SEG-004,2,0.999862,0.000138
SEG-004,3,0.999793,0.000207
SEG-004,4,0.999724,0.000276
SEG-004,5,0.999655,0.000345
SEG-004,6,0.999586,0.000414
SEG-004,7,0.999517,0.000483
SEG-004,8,0.999448,0.000552
SEG-004,9,0.999379,0.000621
SEG-004,10,0.999309,0.000691
SEG-004,11,0.99924,0.00076
SEG-004,12,0.999171,0.000829
SEG-004,13,0.999102,0.000898
SEG-004,14,0.999033,0.000967
SEG-004,15,0.998963,0.001037
SEG-004,16,0.998894,0.001106
SEG-004,17,0.998825,0.001175
SEG-004,18,0.998756,0.001244
SEG-004,19,0.998686,0.001314
SEG-004,20,0.998617,0.001383
SEG-004,21,0.998548,0.001452
SEG-004,22,0.998478,0.001522
SEG-004,23,0.998409,0.001591
SEG-004,24,0.99834,0.00166
SEG-004,25,0.99827,0.00173
SEG-004,26,0.998201,0.001799
SEG-004,27,0.998131,0.001869
SEG-004,28,0.998062,0.001938
SEG-004,29,0.997992,0.002008
SEG-004,30,0.997923,0.002077
SEG-005,1,0.999776,0.000224
SEG-005,2,0.999552,0.000448
SEG-005,3,0.999328,0.000672
SEG-005,4,0.999104,0.000896
SEG-005,5,0.998879,0.001121
SEG-005,6,0.998655,0.001345
SEG-005,7,0.998431,0.001569
SEG-005,8,0.998207,0.001793
SEG-005,9,0.997982,0.002018
SEG-005,10,0.997758,0.002242
SEG-005,11,0.997534,0.002466
SEG-005,12,0.997309,0.002691
SEG-005,13,0.997085,0.002915
SEG-005,14,0.996861,0.003139
SEG-005,15,0.996636,0.003364
SEG-005,16,0.996412,0.003588
SEG-005,17,0.996187,0.003813
SEG-005,18,0.995963,0.004037
SEG-005,19,0.995738,0.004262
SEG-005,20,0.995514,0.004486
SEG-005,21,0.995289,0.004711
SEG-005,22,0.995065,0.004935
SEG-005,23,0.99484,0.00516
SEG-005,24,0.994615,0.005385
SEG-005,25,0.994391,0.005609
SEG-005,26,0.994166,0.005834
SEG-005,27,0.993941,0.006059
SEG-005,28,0.993716,0.006284
SEG-005,29,0.993492,0.006508
SEG-005,30,0.993267,0.006733
SEG-006,1,0.999881,0.000119
SEG-006,2,0.999762,0.000238
SEG-006,3,0.999643,0.000357
SEG-006,4,0.999524,0.000476
SEG-006,5,0.999404,0.000596
SEG-006,6,0.999285,0.000715
SEG-006,7,0.999166,0.000834
SEG-006,8,0.999047,0.000953
SEG-006,9,0.998927,0.001073
SEG-006,10,0.998808,0.001192
SEG-006,11,0.998689,0.001311
SEG-006,12,0.998569,0.001431
SEG-006,13,0.99845,0.00155
SEG-006,14,0.998331,0.001669
SEG-006,15,0.998211,0.001789
SEG-006,16,0.998092,0.001908
SEG-006,17,0.997972,0.002028
SEG-006,18,0.997853,0.002147
SEG-006,19,0.997733,0.002267
SEG-006,20,0.997614,0.002386
SEG-006,21,0.997494,0.002506
SEG-006,22,0.997374,0.002626
SEG-006,23,0.997255,0.002745
SEG-006,24,0.997135,0.002865
SEG-006,25,0.997015,0.002985
SEG-006,26,0.996896,0.003104
SEG-006,27,0.996776,0.003224
SEG-006,28,0.996656,0.003344
SEG-006,29,0.996536,0.003464
SEG-006,30,0.996416,0.003584
SEG-007,1,0.999476,0.000524
SEG-007,2,0.998952,0.001048
SEG-007,3,0.998428,0.001572
SEG-007,4,0.997904,0.002096
SEG-007,5,0.99738,0.00262
SEG-007,6,0.996856,0.003144
SEG-007,7,0.996332,0.003668
SEG-007,8,0.995809,0.004191
SEG-007,9,0.995285,0.004715
SEG-007,10,0.994762,0.005238
SEG-007,11,0.994239,0.005761
SEG-007,12,0.993715,0.006285
SEG-007,13,0.993192,0.006808
SEG-007,14,0.992669,0.007331
SEG-007,15,0.992146,0.007854
SEG-007,16,0.991624,0.008376
SEG-007,17,0.991101,0.008899
SEG-007,18,0.990578,0.009422
SEG-007,19,0.990056,0.009944
SEG-007,20,0.989533,0.010467
SEG-007,21,0.989011,0.010989
SEG-007,22,0.988489,0.011511
SEG-007,23,0.987967,0.012033
SEG-007,24,0.987445,0.012555
SEG-007,25,0.986923,0.013077
SEG-007,26,0.986401,0.013599
SEG-007,27,0.98588,0.01412
SEG-007,28,0.985358,0.014642
SEG-007,29,0.984836,0.015164
SEG-007,30,0.984315,0.015685
SEG-008,1,0.999911,8.9e-05
SEG-008,2,0.999821,0.000179
SEG-008,3,0.999732,0.000268
SEG-008,4,0.999643,0.000357
SEG-008,5,0.999553,0.000447
SEG-008,6,0.999464,0.000536
SEG-008,7,0.999374,0.000626
SEG-008,8,0.999285,0.000715
SEG-008,9,0.999195,0.000805
SEG-008,10,0.999106,0.000894
SEG-008,11,0.999016,0.000984
SEG-008,12,0.998927,0.001073
SEG-008,13,0.998837,0.001163
SEG-008,14,0.998748,0.001252
SEG-008,15,0.998658,0.001342
SEG-008,16,0.998568,0.001432
SEG-008,17,0.998479,0.001521
SEG-008,18,0.998389,0.001611
SEG-008,19,0.998299,0.001701
SEG-008,20,0.99821,0.00179
SEG-008,21,0.99812,0.00188
SEG-008,22,0.99803,0.00197
SEG-008,23,0.99794,0.00206
SEG-008,24,0.99785,0.00215
SEG-008,25,0.99776,0.00224
SEG-008,26,0.997671,0.002329
SEG-008,27,0.997581,0.002419
SEG-008,28,0.997491,0.002509
SEG-008,29,0.997401,0.002599
SEG-008,30,0.997311,0.002689
SEG-009,1,0.999846,0.000154
SEG-009,2,0.999691,0.000309
SEG-009,3,0.999537,0.000463
SEG-009,4,0.999383,0.000617
SEG-009,5,0.999228,0.000772
SEG-009,6,0.999074,0.000926
SEG-009,7,0.998919,0.001081
SEG-009,8,0.998765,0.001235
SEG-009,9,0.99861,0.00139
SEG-009,10,0.998456,0.001544
SEG-009,11,0.998301,0.001699
SEG-009,12,0.998146,0.001854
SEG-009,13,0.997992,0.002008
SEG-009,14,0.997837,0.002163
SEG-009,15,0.997682,0.002318
SEG-009,16,0.997528,0.002472
SEG-009,17,0.997373,0.002627
SEG-009,18,0.997218,0.002782
SEG-009,19,0.997063,0.002937
SEG-009,20,0.996908,0.003092
SEG-009,21,0.996753,0.003247
SEG-009,22,0.996599,0.003401
SEG-009,23,0.996444,0.003556
SEG-009,24,0.996289,0.003711
SEG-009,25,0.996134,0.003866
SEG-009,26,0.995979,0.004021
SEG-009,27,0.995824,0.004176
SEG-009,28,0.995668,0.004332
SEG-009,29,0.995513,0.004487
SEG-009,30,0.995358,0.004642
SEG-010,1,0.999987,1.3e-05
SEG-010,2,0.999975,2.5e-05
SEG-010,3,0.999962,3.8e-05
SEG-010,4,0.999949,5.1e-05
SEG-010,5,0.999936,6.4e-05
SEG-010,6,0.999924,7.6e-05
SEG-010,7,0.999911,8.9e-05
SEG-010,8,0.999898,0.000102
SEG-010,9,0.999885,0.000115
SEG-010,10,0.999873,0.000127
SEG-010,11,0.99986,0.00014
SEG-010,12,0.999847,0.000153
SEG-010,13,0.999834,0.000166
SEG-010,14,0.999821,0.000179
SEG-010,15,0.999809,0.000191
SEG-010,16,0.999796,0.000204
SEG-010,17,0.999783,0.000217
SEG-010,18,0.99977,0.00023
SEG-010,19,0.999757,0.000243
SEG-010,20,0.999745,0.000255
SEG-010,21,0.999732,0.000268
SEG-010,22,0.999719,0.000281
SEG-010,23,0.999706,0.000294
SEG-010,24,0.999693,0.000307
SEG-010,25,0.999681,0.000319
SEG-010,26,0.999668,0.000332
SEG-010,27,0.999655,0.000345
SEG-010,28,0.999642,0.000358
SEG-010,29,0.999629,0.000371
SEG-010,30,0.999616,0.000384
SEG-011,1,0.999983,1.7e-05
SEG-011,2,0.999967,3.3e-05
SEG-011,3,0.99995,5e-05
SEG-011,4,0.999933,6.7e-05
SEG-011,5,0.999916,8.4e-05
SEG-011,6,0.999899,0.000101
SEG-011,7,0.999883,0.000117
SEG-011,8,0.999866,0.000134
SEG-011,9,0.999849,0.000151
SEG-011,10,0.999832,0.000168
SEG-011,11,0.999816,0.000184
SEG-011,12,0.999799,0.000201
SEG-011,13,0.999782,0.000218
SEG-011,14,0.999765,0.000235
SEG-011,15,0.999748,0.000252
SEG-011,16,0.999731,0.000269
SEG-011,17,0.999715,0.000285
SEG-011,18,0.999698,0.000302
SEG-011,19,0.999681,0.000319
SEG-011,20,0.999664,0.000336
SEG-011,21,0.999647,0.000353
SEG-011,22,0.99963,0.00037
SEG-011,23,0.999614,0.000386
SEG-011,24,0.999597,0.000403
SEG-011,25,0.99958,0.00042
SEG-011,26,0.999563,0.000437
SEG-011,27,0.999546,0.000454
SEG-011,28,0.999529,0.000471
SEG-011,29,0.999512,0.000488
SEG-011,30,0.999495,0.000505
SEG-012,1,0.999933,6.7e-05
SEG-012,2,0.999865,0.000135
SEG-012,3,0.999798,0.000202
SEG-012,4,0.99973,0.00027
SEG-012,5,0.999663,0.000337
SEG-012,6,0.999595,0.000405
SEG-012,7,0.999528,0.000472
SEG-012,8,0.99946,0.00054
SEG-012,9,0.999393,0.000607
SEG-012,10,0.999325,0.000675
SEG-012,11,0.999258,0.000742
SEG-012,12,0.99919,0.00081
SEG-012,13,0.999122,0.000878
SEG-012,14,0.999055,0.000945
SEG-012,15,0.998987,0.001013
SEG-012,16,0.998919,0.001081
SEG-012,17,0.998852,0.001148
SEG-012,18,0.998784,0.001216
SEG-012,19,0.998716,0.001284
SEG-012,20,0.998648,0.001352
SEG-012,21,0.998581,0.001419
SEG-012,22,0.998513,0.001487
SEG-012,23,0.998445,0.001555
SEG-012,24,0.998377,0.001623
SEG-012,25,0.998309,0.001691
SEG-012,26,0.998242,0.001758
SEG-012,27,0.998174,0.001826
SEG-012,28,0.998106,0.001894
SEG-012,29,0.998038,0.001962
SEG-012,30,0.99797,0.00203
SEG-013,1,0.999936,6.4e-05
SEG-013,2,0.999873,0.000127
SEG-013,3,0.999809,0.000191
SEG-013,4,0.999746,0.000254
SEG-013,5,0.999682,0.000318
SEG-013,6,0.999619,0.000381
SEG-013,7,0.999555,0.000445
SEG-013,8,0.999491,0.000509
SEG-013,9,0.999428,0.000572
SEG-013,10,0.999364,0.000636
SEG-013,11,0.9993,0.0007
SEG-013,12,0.999237,0.000763
SEG-013,13,0.999173,0.000827
SEG-013,14,0.999109,0.000891
SEG-013,15,0.999045,0.000955
SEG-013,16,0.998982,0.001018
SEG-013,17,0.998918,0.001082
SEG-013,18,0.998854,0.001146
SEG-013,19,0.99879,0.00121
SEG-013,20,0.998726,0.001274
SEG-013,21,0.998663,0.001337
SEG-013,22,0.998599,0.001401
SEG-013,23,0.998535,0.001465
SEG-013,24,0.998471,0.001529
SEG-013,25,0.998407,0.001593
SEG-013,26,0.998343,0.001657
SEG-013,27,0.998279,0.001721
SEG-013,28,0.998215,0.001785
SEG-013,29,0.998151,0.001849
SEG-013,30,0.998087,0.001913
SEG-014,1,0.999789,0.000211
SEG-014,2,0.999579,0.000421
SEG-014,3,0.999368,0.000632
SEG-014,4,0.999158,0.000842
SEG-014,5,0.998947,0.001053
SEG-014,6,0.998736,0.001264
SEG-014,7,0.998526,0.001474
SEG-014,8,0.998315,0.001685
SEG-014,9,0.998104,0.001896
SEG-014,10,0.997893,0.002107
SEG-014,11,0.997683,0.002317
SEG-014,12,0.997472,0.002528
SEG-014,13,0.997261,0.002739
SEG-014,14,0.99705,0.00295
SEG-014,15,0.996839,0.003161
SEG-014,16,0.996628,0.003372
SEG-014,17,0.996417,0.003583
SEG-014,18,0.996206,0.003794
SEG-014,19,0.995995,0.004005
SEG-014,20,0.995784,0.004216
SEG-014,21,0.995573,0.004427
SEG-014,22,0.995362,0.004638
SEG-014,23,0.995151,0.004849
SEG-014,24,0.99494,0.00506
SEG-014,25,0.994728,0.005272
SEG-014,26,0.994517,0.005483
SEG-014,27,0.994306,0.005694
SEG-014,28,0.994095,0.005905
SEG-014,29,0.993883,0.006117
SEG-014,30,0.993672,0.006328
SEG-015,1,0.999897,0.000103
SEG-015,2,0.999794,0.000206
SEG-015,3,0.999691,0.000309
SEG-015,4,0.999588,0.000412
SEG-015,5,0.999485,0.000515
SEG-015,6,0.999382,0.000618
SEG-015,7,0.999278,0.000722
SEG-015,8,0.999175,0.000825
SEG-015,9,0.999072,0.000928
SEG-015,10,0.998969,0.001031
SEG-015,11,0.998866,0.001134
SEG-015,12,0.998762,0.001238
SEG-015,13,0.998659,0.001341
SEG-015,14,0.998556,0.001444
SEG-015,15,0.998452,0.001548
SEG-015,16,0.998349,0.001651
SEG-015,17,0.998246,0.001754
SEG-015,18,0.998142,0.001858
SEG-015,19,0.998039,0.001961
SEG-015,20,0.997935,0.002065
SEG-015,21,0.997832,0.002168
SEG-015,22,0.997728,0.002272
SEG-015,23,0.997625,0.002375
SEG-015,24,0.997521,0.002479
SEG-015,25,0.997418,0.002582
SEG-015,26,0.997314,0.002686
SEG-015,27,0.99721,0.00279
SEG-015,28,0.997107,0.002893
SEG-015,29,0.997003,0.002997
SEG-015,30,0.996899,0.003101
SEG-016,1,0.999858,0.000142
SEG-016,2,0.999715,0.000285
SEG-016,3,0.999573,0.000427
SEG-016,4,0.99943,0.00057
SEG-016,5,0.999288,0.000712
SEG-016,6,0.999145,0.000855
SEG-016,7,0.999003,0.000997
SEG-016,8,0.99886,0.00114
SEG-016,9,0.998717,0.001283
SEG-016,10,0.998575,0.001425
SEG-016,11,0.998432,0.001568
SEG-016,12,0.998289,0.001711
SEG-016,13,0.998146,0.001854
SEG-016,14,0.998004,0.001996
SEG-016,15,0.997861,0.002139
SEG-016,16,0.997718,0.002282
SEG-016,17,0.997575,0.002425
SEG-016,18,0.997432,0.002568
SEG-016,19,0.997289,0.002711
SEG-016,20,0.997146,0.002854
SEG-016,21,0.997003,0.002997
SEG-016,22,0.99686,0.00314
SEG-016,23,0.996717,0.003283
SEG-016,24,0.996574,0.003426
SEG-016,25,0.996431,0.003569
SEG-016,26,0.996288,0.003712
SEG-016,27,0.996145,0.003855
SEG-016,28,0.996002,0.003998
SEG-016,29,0.995859,0.004141
SEG-016,30,0.995715,0.004285
SEG-017,1,0.99982,0.00018
SEG-017,2,0.99964,0.00036
SEG-017,3,0.99946,0.00054
SEG-017,4,0.99928,0.00072
SEG-017,5,0.9991,0.0009
SEG-017,6,0.99892,0.00108
SEG-017,7,0.99874,0.00126
SEG-017,8,0.99856,0.00144
SEG-017,9,0.99838,0.00162
SEG-017,10,0.9982,0.0018
SEG-017,11,0.99802,0.00198
SEG-017,12,0.99784,0.00216
SEG-017,13,0.99766,0.00234
SEG-017,14,0.99748,0.00252
SEG-017,15,0.997299,0.002701
SEG-017,16,0.997119,0.002881
SEG-017,17,0.996939,0.003061
SEG-017,18,0.996758,0.003242
SEG-017,19,0.996578,0.003422
SEG-017,20,0.996398,0.003602
SEG-017,21,0.996217,0.003783
SEG-017,22,0.996037,0.003963
SEG-017,23,0.995856,0.004144
SEG-017,24,0.995676,0.004324
SEG-017,25,0.995495,0.004505
SEG-017,26,0.995315,0.004685
SEG-017,27,0.995134,0.004866
SEG-017,28,0.994953,0.005047
SEG-017,29,0.994773,0.005227
SEG-017,30,0.994592,0.005408
SEG-018,1,0.998679,0.001321
SEG-018,2,0.99736,0.00264
SEG-018,3,0.996042,0.003958
SEG-018,4,0.994725,0.005275
SEG-018,5,0.99341,0.00659
SEG-018,6,0.992096,0.007904
SEG-018,7,0.990783,0.009217
SEG-018,8,0.989471,0.010529
SEG-018,9,0.988161,0.011839
SEG-018,10,0.986852,0.013148
SEG-018,11,0.985544,0.014456
SEG-018,12,0.984238,0.015762
SEG-018,13,0.982933,0.017067
SEG-018,14,0.981629,0.018371
SEG-018,15,0.980327,0.019673
SEG-018,16,0.979025,0.020975
SEG-018,17,0.977725,0.022275
SEG-018,18,0.976427,0.023573
SEG-018,19,0.975129,0.024871
SEG-018,20,0.973833,0.026167
SEG-018,21,0.972538,0.027462
SEG-018,22,0.971245,0.028755
SEG-018,23,0.969953,0.030047
SEG-018,24,0.968662,0.031338
SEG-018,25,0.967372,0.032628
SEG-018,26,0.966084,0.033916
SEG-018,27,0.964797,0.035203
SEG-018,28,0.963511,0.036489
SEG-018,29,0.962226,0.037774
SEG-018,30,0.960943,0.039057
SEG-019,1,0.999838,0.000162
SEG-019,2,0.999676,0.000324
SEG-019,3,0.999514,0.000486
SEG-019,4,0.999351,0.000649
SEG-019,5,0.999189,0.000811
SEG-019,6,0.999027,0.000973
SEG-019,7,0.998865,0.001135
SEG-019,8,0.998702,0.001298
SEG-019,9,0.99854,0.00146
SEG-019,10,0.998378,0.001622
SEG-019,11,0.998215,0.001785
SEG-019,12,0.998053,0.001947
SEG-019,13,0.99789,0.00211
SEG-019,14,0.997728,0.002272
SEG-019,15,0.997565,0.002435
SEG-019,16,0.997403,0.002597
SEG-019,17,0.99724,0.00276
SEG-019,18,0.997077,0.002923
SEG-019,19,0.996915,0.003085
SEG-019,20,0.996752,0.003248
SEG-019,21,0.99659,0.00341
SEG-019,22,0.996427,0.003573
SEG-019,23,0.996264,0.003736
SEG-019,24,0.996101,0.003899
SEG-019,25,0.995938,0.004062
SEG-019,26,0.995776,0.004224
SEG-019,27,0.995613,0.004387
SEG-019,28,0.99545,0.00455
SEG-019,29,0.995287,0.004713
SEG-019,30,0.995124,0.004876
SEG-020,1,0.999417,0.000583
SEG-020,2,0.998834,0.001166
SEG-020,3,0.99825,0.00175
SEG-020,4,0.997668,0.002332
SEG-020,5,0.997085,0.002915
SEG-020,6,0.996502,0.003498
SEG-020,7,0.99592,0.00408
SEG-020,8,0.995337,0.004663
SEG-020,9,0.994755,0.005245
SEG-020,10,0.994173,0.005827
SEG-020,11,0.993591,0.006409
SEG-020,12,0.993009,0.006991
SEG-020,13,0.992428,0.007572
SEG-020,14,0.991846,0.008154
SEG-020,15,0.991265,0.008735
SEG-020,16,0.990684,0.009316
SEG-020,17,0.990103,0.009897
SEG-020,18,0.989522,0.010478
SEG-020,19,0.988941,0.011059
SEG-020,20,0.988361,0.011639
SEG-020,21,0.98778,0.01222
SEG-020,22,0.9872,0.0128
SEG-020,23,0.98662,0.01338
SEG-020,24,0.98604,0.01396
SEG-020,25,0.98546,0.01454
SEG-020,26,0.98488,0.01512
SEG-020,27,0.9843,0.0157
SEG-020,28,0.983721,0.016279
SEG-020,29,0.983142,0.016858
SEG-020,30,0.982562,0.017438
SEG-021,1,0.999427,0.000573
SEG-021,2,0.998854,0.001146
SEG-021,3,0.998282,0.001718
SEG-021,4,0.997709,0.002291
SEG-021,5,0.997137,0.002863
SEG-021,6,0.996564,0.003436
SEG-021,7,0.995992,0.004008
SEG-021,8,0.99542,0.00458
SEG-021,9,0.994848,0.005152
SEG-021,10,0.994277,0.005723
SEG-021,11,0.993705,0.006295
SEG-021,12,0.993134,0.006866
SEG-021,13,0.992562,0.007438
SEG-021,14,0.991991,0.008009
SEG-021,15,0.99142,0.00858
SEG-021,16,0.990849,0.009151
SEG-021,17,0.990278,0.009722
SEG-021,18,0.989707,0.010293
SEG-021,19,0.989137,0.010863
SEG-021,20,0.988567,0.011433
SEG-021,21,0.987996,0.012004
SEG-021,22,0.987426,0.012574
SEG-021,23,0.986856,0.013144
SEG-021,24,0.986286,0.013714
SEG-021,25,0.985717,0.014283
SEG-021,26,0.985147,0.014853
SEG-021,27,0.984578,0.015422
SEG-021,28,0.984008,0.015992
SEG-021,29,0.983439,0.016561
SEG-021,30,0.98287,0.01713
SEG-022,1,0.999528,0.000472
SEG-022,2,0.999056,0.000944
SEG-022,3,0.998584,0.001416
SEG-022,4,0.998112,0.001888
SEG-022,5,0.99764,0.00236
SEG-022,6,0.997168,0.002832
SEG-022,7,0.996696,0.003304
SEG-022,8,0.996225,0.003775
SEG-022,9,0.995753,0.004247
SEG-022,10,0.995281,0.004719
SEG-022,11,0.99481,0.00519
SEG-022,12,0.994339,0.005661
SEG-022,13,0.993867,0.006133
SEG-022,14,0.993396,0.006604
SEG-022,15,0.992925,0.007075
SEG-022,16,0.992453,0.007547
SEG-022,17,0.991982,0.008018
SEG-022,18,0.991511,0.008489
SEG-022,19,0.99104,0.00896
SEG-022,20,0.990569,0.009431
SEG-022,21,0.990098,0.009902
SEG-022,22,0.989628,0.010372
SEG-022,23,0.989157,0.010843
SEG-022,24,0.988686,0.011314
SEG-022,25,0.988216,0.011784
SEG-022,26,0.987745,0.012255
SEG-022,27,0.987275,0.012725
SEG-022,28,0.986804,0.013196
SEG-022,29,0.986334,0.013666
SEG-022,30,0.985863,0.014137
SEG-023,1,0.999867,0.000133
SEG-023,2,0.999734,0.000266
SEG-023,3,0.999601,0.000399
SEG-023,4,0.999467,0.000533
SEG-023,5,0.999334,0.000666
SEG-023,6,0.999201,0.000799
SEG-023,7,0.999068,0.000932
SEG-023,8,0.998934,0.001066
SEG-023,9,0.998801,0.001199
SEG-023,10,0.998668,0.001332
SEG-023,11,0.998534,0.001466
SEG-023,12,0.998401,0.001599
SEG-023,13,0.998267,0.001733
SEG-023,14,0.998134,0.001866
SEG-023,15,0.998,0.002
SEG-023,16,0.997867,0.002133
SEG-023,17,0.997733,0.002267
SEG-023,18,0.9976,0.0024
SEG-023,19,0.997466,0.002534
SEG-023,20,0.997332,0.002668
SEG-023,21,0.997199,0.002801
SEG-023,22,0.997065,0.002935
SEG-023,23,0.996931,0.003069
SEG-023,24,0.996797,0.003203
SEG-023,25,0.996664,0.003336
SEG-023,26,0.99653,0.00347
SEG-023,27,0.996396,0.003604
SEG-023,28,0.996262,0.003738
SEG-023,29,0.996128,0.003872
SEG-023,30,0.995994,0.004006
SEG-024,1,0.999568,0.000432
SEG-024,2,0.999137,0.000863
SEG-024,3,0.998705,0.001295
SEG-024,4,0.998274,0.001726
SEG-024,5,0.997842,0.002158
SEG-024,6,0.997411,0.002589
SEG-024,7,0.996979,0.003021
SEG-024,8,0.996548,0.003452
SEG-024,9,0.996117,0.003883
SEG-024,10,0.995685,0.004315
SEG-024,11,0.995254,0.004746
SEG-024,12,0.994823,0.005177
SEG-024,13,0.994392,0.005608
SEG-024,14,0.99396,0.00604
SEG-024,15,0.993529,0.006471
SEG-024,16,0.993098,0.006902
SEG-024,17,0.992667,0.007333
SEG-024,18,0.992236,0.007764
SEG-024,19,0.991805,0.008195
SEG-024,20,0.991374,0.008626
SEG-024,21,0.990944,0.009056
SEG-024,22,0.990513,0.009487
SEG-024,23,0.990082,0.009918
SEG-024,24,0.989651,0.010349
SEG-024,25,0.989221,0.010779
SEG-024,26,0.98879,0.01121
SEG-024,27,0.988359,0.011641
SEG-024,28,0.987929,0.012071
SEG-024,29,0.987498,0.012502
SEG-024,30,0.987068,0.012932
SEG-025,1,0.999577,0.000423
SEG-025,2,0.999155,0.000845
SEG-025,3,0.998732,0.001268
SEG-025,4,0.99831,0.00169
SEG-025,5,0.997888,0.002112
SEG-025,6,0.997465,0.002535
SEG-025,7,0.997043,0.002957
SEG-025,8,0.996621,0.003379
SEG-025,9,0.996198,0.003802
SEG-025,10,0.995776,0.004224
SEG-025,11,0.995354,0.004646
SEG-025,12,0.994932,0.005068
SEG-025,13,0.99451,0.00549
SEG-025,14,0.994087,0.005913
SEG-025,15,0.993665,0.006335
SEG-025,16,0.993243,0.006757
SEG-025,17,0.992821,0.007179
SEG-025,18,0.992399,0.007601
SEG-025,19,0.991977,0.008023
SEG-025,20,0.991556,0.008444
SEG-025,21,0.991134,0.008866
SEG-025,22,0.990712,0.009288
SEG-025,23,0.99029,0.00971
SEG-025,24,0.989868,0.010132
SEG-025,25,0.989447,0.010553
SEG-025,26,0.989025,0.010975
SEG-025,27,0.988603,0.011397
SEG-025,28,0.988182,0.011818
SEG-025,29,0.98776,0.01224
SEG-025,30,0.987339,0.012661
SEG-026,1,0.99982,0.00018
SEG-026,2,0.99964,0.00036
SEG-026,3,0.99946,0.00054
SEG-026,4,0.99928,0.00072
SEG-026,5,0.9991,0.0009
SEG-026,6,0.99892,0.00108
SEG-026,7,0.99874,0.00126
SEG-026,8,0.99856,0.00144
SEG-026,9,0.99838,0.00162
SEG-026,10,0.9982,0.0018
SEG-026,11,0.99802,0.00198
SEG-026,12,0.997839,0.002161
SEG-026,13,0.997659,0.002341
SEG-026,14,0.997479,0.002521
SEG-026,15,0.997298,0.002702
SEG-026,16,0.997118,0.002882
SEG-026,17,0.996938,0.003062
SEG-026,18,0.996757,0.003243
SEG-026,19,0.996577,0.003423
SEG-026,20,0.996397,0.003603
SEG-026,21,0.996216,0.003784
SEG-026,22,0.996036,0.003964
SEG-026,23,0.995855,0.004145
