segment_id,month,division,asset_type,age_years,freight_density_class,monsoon_exposure,grade3_defects_previous_90d,defect_count_month,failure_event,right_censored,monsoon_month
SEG-004,2024-04-30,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-004,2024-05-30,Delhi,S&T,36.0,High,Medium,0,1,0,1,0
SEG-004,2024-06-29,Delhi,S&T,36.0,High,Medium,0,0,0,1,1
SEG-004,2024-07-29,Delhi,S&T,36.0,High,Medium,0,1,0,1,1
SEG-004,2024-08-28,Delhi,S&T,36.0,High,Medium,0,0,0,1,1
SEG-004,2024-09-27,Delhi,S&T,36.0,High,Medium,0,0,0,1,1
SEG-004,2024-10-27,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-004,2024-11-26,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-004,2024-12-26,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-004,2025-01-25,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-004,2025-02-24,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-004,2025-03-26,Delhi,S&T,36.0,High,Medium,0,1,0,1,0
SEG-004,2025-04-25,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-004,2025-05-25,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-004,2025-06-24,Delhi,S&T,36.0,High,Medium,0,0,0,1,1
SEG-004,2025-07-24,Delhi,S&T,36.0,High,Medium,0,0,0,1,1
SEG-004,2025-08-23,Delhi,S&T,36.0,High,Medium,0,0,0,1,1
SEG-004,2025-09-22,Delhi,S&T,36.0,High,Medium,0,0,0,1,1
SEG-004,2025-10-22,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-004,2025-11-21,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-005,2024-01-01,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2024-01-31,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2024-03-01,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2024-03-31,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2024-04-30,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2024-05-30,Delhi,Track,43.9,Medium,Medium,0,1,0,1,0
SEG-005,2024-06-29,Delhi,Track,43.9,Medium,Medium,0,0,0,1,1
SEG-005,2024-07-29,Delhi,Track,43.9,Medium,Medium,0,1,0,1,1
SEG-005,2024-08-28,Delhi,Track,43.9,Medium,Medium,0,1,0,1,1
SEG-005,2024-09-27,Delhi,Track,43.9,Medium,Medium,0,0,0,1,1
SEG-005,2024-10-27,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2024-11-26,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2024-12-26,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2025-01-25,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2025-02-24,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2025-03-26,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2025-04-25,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2025-05-25,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2025-06-24,Delhi,Track,43.9,Medium,Medium,0,0,0,1,1
SEG-005,2025-07-24,Delhi,Track,43.9,Medium,Medium,0,0,0,1,1
SEG-005,2025-08-23,Delhi,Track,43.9,Medium,Medium,0,0,0,1,1
SEG-005,2025-09-22,Delhi,Track,43.9,Medium,Medium,0,0,0,1,1
SEG-005,2025-10-22,Delhi,Track,43.9,Medium,Medium,0,0,0,1,0
SEG-005,2025-11-21,Delhi,Track,43.9,Medium,Medium,0,0,1,1,0
SEG-006,2024-01-01,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2024-01-31,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2024-03-01,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2024-03-31,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2024-04-30,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2024-05-30,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2024-06-29,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,1
SEG-006,2024-07-29,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,1
SEG-006,2024-08-28,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,1
SEG-006,2024-09-27,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,1
SEG-006,2024-10-27,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2024-11-26,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2024-12-26,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2025-01-25,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2025-02-24,Jaipur,S&T,48.0,Medium,Low,0,1,0,1,0
SEG-006,2025-03-26,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2025-04-25,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2025-05-25,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2025-06-24,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,1
SEG-006,2025-07-24,Jaipur,S&T,48.0,Medium,Low,0,1,0,1,1
SEG-006,2025-08-23,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,1
SEG-006,2025-09-22,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,1
SEG-006,2025-10-22,Jaipur,S&T,48.0,Medium,Low,0,0,0,1,0
SEG-006,2025-11-21,Jaipur,S&T,48.0,Medium,Low,0,1,0,1,0
SEG-007,2024-01-01,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,1,0
SEG-007,2024-01-31,Jaipur,Traction/OHE,42.8,High,Low,0,1,0,1,0
SEG-007,2024-03-01,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,1,0
SEG-007,2024-03-31,Jaipur,Traction/OHE,42.8,High,Low,0,1,0,1,0
SEG-007,2024-04-30,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,1,0
SEG-007,2024-05-30,Jaipur,Traction/OHE,42.8,High,Low,0,0,1,1,0
SEG-007,2024-06-29,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,1
SEG-007,2024-07-29,Jaipur,Traction/OHE,42.8,High,Low,0,1,0,0,1
SEG-007,2024-08-28,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,1
SEG-007,2024-09-27,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,1
SEG-007,2024-10-27,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,0
SEG-007,2024-11-26,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,0
SEG-007,2024-12-26,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,0
SEG-007,2025-01-25,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,0
SEG-007,2025-02-24,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,0
SEG-007,2025-03-26,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,0
SEG-007,2025-04-25,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,0
SEG-007,2025-05-25,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,0
SEG-007,2025-06-24,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,1
SEG-007,2025-07-24,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,1
SEG-007,2025-08-23,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,1
SEG-007,2025-09-22,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,1
SEG-007,2025-10-22,Jaipur,Traction/OHE,42.8,High,Low,0,0,0,0,0
SEG-007,2025-11-21,Jaipur,Traction/OHE,42.8,High,Low,0,1,0,0,0
SEG-008,2024-01-01,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2024-01-31,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2024-03-01,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2024-03-31,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2024-04-30,Jaipur,S&T,8.9,Medium,High,0,1,0,1,0
SEG-008,2024-05-30,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2024-06-29,Jaipur,S&T,8.9,Medium,High,0,0,0,1,1
SEG-008,2024-07-29,Jaipur,S&T,8.9,Medium,High,0,0,0,1,1
SEG-008,2024-08-28,Jaipur,S&T,8.9,Medium,High,0,0,0,1,1
SEG-008,2024-09-27,Jaipur,S&T,8.9,Medium,High,0,0,0,1,1
SEG-008,2024-10-27,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2024-11-26,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2024-12-26,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2025-01-25,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2025-02-24,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2025-03-26,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2025-04-25,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2025-05-25,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2025-06-24,Jaipur,S&T,8.9,Medium,High,0,0,0,1,1
SEG-008,2025-07-24,Jaipur,S&T,8.9,Medium,High,0,0,0,1,1
SEG-008,2025-08-23,Jaipur,S&T,8.9,Medium,High,0,0,0,1,1
SEG-008,2025-09-22,Jaipur,S&T,8.9,Medium,High,0,0,0,1,1
SEG-008,2025-10-22,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-008,2025-11-21,Jaipur,S&T,8.9,Medium,High,0,0,0,1,0
SEG-009,2024-01-01,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-009,2024-01-31,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-009,2024-03-01,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-009,2024-03-31,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-009,2024-04-30,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-009,2024-05-30,Jaipur,S&T,32.1,Low,High,0,1,0,1,0
SEG-009,2024-06-29,Jaipur,S&T,32.1,Low,High,0,0,0,1,1
SEG-009,2024-07-29,Jaipur,S&T,32.1,Low,High,0,0,0,1,1
SEG-009,2024-08-28,Jaipur,S&T,32.1,Low,High,0,2,0,1,1
SEG-009,2024-09-27,Jaipur,S&T,32.1,Low,High,0,1,0,1,1
SEG-009,2024-10-27,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-009,2024-11-26,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-009,2024-12-26,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-009,2025-01-25,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-009,2025-02-24,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-009,2025-03-26,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-009,2025-04-25,Jaipur,S&T,32.1,Low,High,0,1,0,1,0
SEG-009,2025-05-25,Jaipur,S&T,32.1,Low,High,0,1,0,1,0
SEG-009,2025-06-24,Jaipur,S&T,32.1,Low,High,0,1,0,1,1
SEG-009,2025-07-24,Jaipur,S&T,32.1,Low,High,0,0,0,1,1
SEG-009,2025-08-23,Jaipur,S&T,32.1,Low,High,0,0,0,1,1
SEG-009,2025-09-22,Jaipur,S&T,32.1,Low,High,0,0,0,1,1
SEG-009,2025-10-22,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-009,2025-11-21,Jaipur,S&T,32.1,Low,High,0,0,0,1,0
SEG-010,2024-01-01,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2024-01-31,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2024-03-01,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2024-03-31,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2024-04-30,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2024-05-30,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2024-06-29,Kota,S&T,13.7,Low,Low,0,0,0,1,1
SEG-010,2024-07-29,Kota,S&T,13.7,Low,Low,0,0,0,1,1
SEG-010,2024-08-28,Kota,S&T,13.7,Low,Low,0,0,0,1,1
SEG-010,2024-09-27,Kota,S&T,13.7,Low,Low,0,0,0,1,1
SEG-010,2024-10-27,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2024-11-26,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2024-12-26,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2025-01-25,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2025-02-24,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2025-03-26,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2025-04-25,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2025-05-25,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2025-06-24,Kota,S&T,13.7,Low,Low,0,0,0,1,1
SEG-010,2025-07-24,Kota,S&T,13.7,Low,Low,0,0,0,1,1
SEG-010,2025-08-23,Kota,S&T,13.7,Low,Low,0,0,0,1,1
SEG-010,2025-09-22,Kota,S&T,13.7,Low,Low,0,0,0,1,1
SEG-010,2025-10-22,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-010,2025-11-21,Kota,S&T,13.7,Low,Low,0,0,0,1,0
SEG-011,2024-01-01,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2024-01-31,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2024-03-01,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2024-03-31,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2024-04-30,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2024-05-30,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2024-06-29,Kota,S&T,24.3,Medium,Medium,0,0,0,1,1
SEG-011,2024-07-29,Kota,S&T,24.3,Medium,Medium,0,0,0,1,1
SEG-011,2024-08-28,Kota,S&T,24.3,Medium,Medium,0,0,0,1,1
SEG-011,2024-09-27,Kota,S&T,24.3,Medium,Medium,0,0,0,1,1
SEG-011,2024-10-27,Kota,S&T,24.3,Medium,Medium,0,1,0,1,0
SEG-011,2024-11-26,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2024-12-26,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2025-01-25,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2025-02-24,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2025-03-26,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2025-04-25,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2025-05-25,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2025-06-24,Kota,S&T,24.3,Medium,Medium,0,0,0,1,1
SEG-011,2025-07-24,Kota,S&T,24.3,Medium,Medium,0,0,0,1,1
SEG-011,2025-08-23,Kota,S&T,24.3,Medium,Medium,0,0,0,1,1
SEG-011,2025-09-22,Kota,S&T,24.3,Medium,Medium,0,0,0,1,1
SEG-011,2025-10-22,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-011,2025-11-21,Kota,S&T,24.3,Medium,Medium,0,0,0,1,0
SEG-012,2024-01-01,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2024-01-31,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2024-03-01,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2024-03-31,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2024-04-30,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2024-05-30,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2024-06-29,Kota,Traction/OHE,15.5,High,High,0,0,0,1,1
SEG-012,2024-07-29,Kota,Traction/OHE,15.5,High,High,0,0,0,1,1
SEG-012,2024-08-28,Kota,Traction/OHE,15.5,High,High,0,0,0,1,1
SEG-012,2024-09-27,Kota,Traction/OHE,15.5,High,High,0,0,0,1,1
SEG-012,2024-10-27,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2024-11-26,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2024-12-26,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2025-01-25,Kota,Traction/OHE,15.5,High,High,0,1,0,1,0
SEG-012,2025-02-24,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2025-03-26,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2025-04-25,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2025-05-25,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2025-06-24,Kota,Traction/OHE,15.5,High,High,0,0,0,1,1
SEG-012,2025-07-24,Kota,Traction/OHE,15.5,High,High,0,0,0,1,1
SEG-012,2025-08-23,Kota,Traction/OHE,15.5,High,High,0,0,0,1,1
SEG-012,2025-09-22,Kota,Traction/OHE,15.5,High,High,0,0,0,1,1
SEG-012,2025-10-22,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-012,2025-11-21,Kota,Traction/OHE,15.5,High,High,0,0,0,1,0
SEG-013,2024-01-01,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2024-01-31,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2024-03-01,Kota,Track,37.3,Medium,Medium,0,1,0,1,0
SEG-013,2024-03-31,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2024-04-30,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2024-05-30,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2024-06-29,Kota,Track,37.3,Medium,Medium,0,0,0,1,1
SEG-013,2024-07-29,Kota,Track,37.3,Medium,Medium,0,0,0,1,1
SEG-013,2024-08-28,Kota,Track,37.3,Medium,Medium,0,0,0,1,1
SEG-013,2024-09-27,Kota,Track,37.3,Medium,Medium,0,0,0,1,1
SEG-013,2024-10-27,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2024-11-26,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2024-12-26,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2025-01-25,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2025-02-24,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2025-03-26,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2025-04-25,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2025-05-25,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2025-06-24,Kota,Track,37.3,Medium,Medium,0,1,0,1,1
SEG-013,2025-07-24,Kota,Track,37.3,Medium,Medium,0,0,0,1,1
SEG-013,2025-08-23,Kota,Track,37.3,Medium,Medium,0,0,0,1,1
SEG-013,2025-09-22,Kota,Track,37.3,Medium,Medium,0,0,0,1,1
SEG-013,2025-10-22,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-013,2025-11-21,Kota,Track,37.3,Medium,Medium,0,0,0,1,0
SEG-014,2024-01-01,Ratlam,Traction/OHE,33.1,Medium,High,0,1,0,1,0
SEG-014,2024-01-31,Ratlam,Traction/OHE,33.1,Medium,High,1,0,0,1,0
SEG-014,2024-03-01,Ratlam,Traction/OHE,33.1,Medium,High,1,0,0,1,0
SEG-014,2024-03-31,Ratlam,Traction/OHE,33.1,Medium,High,1,0,0,1,0
SEG-014,2024-04-30,Ratlam,Traction/OHE,33.1,Medium,High,0,0,0,1,0
SEG-014,2024-05-30,Ratlam,Traction/OHE,33.1,Medium,High,0,0,0,1,0
SEG-014,2024-06-29,Ratlam,Traction/OHE,33.1,Medium,High,0,0,0,1,1
SEG-014,2024-07-29,Ratlam,Traction/OHE,33.1,Medium,High,0,1,0,1,1
SEG-014,2024-08-28,Ratlam,Traction/OHE,33.1,Medium,High,0,0,0,1,1
SEG-014,2024-09-27,Ratlam,Traction/OHE,33.1,Medium,High,0,1,0,1,1
