segment_id,event_date,grade,days_to_repair
SEG-038,2024-03-02,2,12
SEG-039,2025-11-07,1,13
SEG-039,2024-09-02,1,13
SEG-039,2024-03-17,1,12
SEG-040,2024-02-03,1,9
SEG-040,2025-12-24,1,1
SEG-041,2024-08-27,3,4
SEG-042,2025-10-25,1,14
SEG-042,2024-09-29,2,1
SEG-042,2024-03-14,1,9
SEG-042,2024-11-10,1,10
SEG-042,2025-08-05,3,5
SEG-043,2024-11-07,2,5
SEG-044,2024-02-10,2,13
SEG-044,2024-11-26,2,5
SEG-044,2024-01-27,1,13
SEG-045,2024-06-28,1,13
SEG-045,2025-10-29,1,4
SEG-045,2024-10-11,1,10
SEG-045,2025-08-22,1,1
SEG-045,2025-05-18,3,8
SEG-045,2025-04-26,1,12
SEG-045,2024-12-07,1,12
SEG-046,2025-05-22,1,14
SEG-046,2025-02-14,2,4
SEG-047,2024-11-27,1,11
SEG-047,2025-02-17,2,2
SEG-048,2025-07-09,1,1
SEG-049,2024-02-22,1,8
SEG-049,2025-07-16,1,9
SEG-049,2024-10-21,1,12
SEG-049,2025-12-16,1,12
SEG-051,2024-01-15,1,5
SEG-051,2024-04-05,1,7
SEG-051,2024-04-26,1,9
SEG-053,2025-07-18,1,9
SEG-053,2024-07-14,3,11
SEG-053,2025-06-04,2,7
SEG-053,2024-05-19,2,8
SEG-053,2024-10-09,2,8
SEG-053,2025-02-28,1,1
SEG-053,2025-06-03,1,14
SEG-055,2024-11-25,2,7
SEG-055,2025-12-15,1,1
SEG-055,2025-01-27,1,5
SEG-055,2025-02-24,1,11
SEG-055,2025-04-29,2,9
SEG-055,2025-01-25,1,12
SEG-055,2025-11-10,2,14
SEG-055,2025-10-29,3,2
SEG-055,2025-05-22,3,7
SEG-056,2024-04-12,2,14
SEG-056,2025-03-26,1,14
SEG-057,2024-05-27,1,4
SEG-058,2025-04-25,2,7
SEG-060,2024-12-02,2,4
SEG-060,2025-06-30,1,12
SEG-061,2024-03-11,1,8
SEG-061,2025-12-01,3,12
SEG-061,2024-08-20,2,12
SEG-061,2025-03-20,3,5
SEG-062,2024-06-19,2,11
SEG-062,2024-01-30,1,11
SEG-063,2024-05-29,1,3
SEG-063,2025-02-25,1,12
SEG-064,2025-01-26,2,4
SEG-064,2024-09-03,1,14
SEG-065,2025-04-21,3,3
SEG-065,2025-11-24,1,12
SEG-065,2024-03-16,1,8
SEG-065,2024-12-19,3,13
SEG-066,2025-01-28,2,14
SEG-066,2024-04-19,1,14
SEG-066,2025-08-08,1,3
SEG-066,2024-10-29,3,14
SEG-067,2025-08-02,2,11
SEG-067,2024-02-20,3,4
SEG-067,2025-05-23,2,10
SEG-068,2024-12-26,1,5
SEG-068,2024-07-13,2,10
SEG-069,2024-05-20,2,6
SEG-069,2025-10-04,2,5
SEG-070,2025-08-16,1,4
SEG-072,2025-03-01,1,6
SEG-073,2024-10-06,2,1
SEG-073,2024-09-20,3,11
SEG-073,2025-05-08,3,14
SEG-074,2024-08-19,2,4
SEG-074,2025-11-21,3,10
SEG-074,2025-07-24,1,10
SEG-074,2025-02-08,1,14
SEG-075,2025-08-21,1,12
SEG-075,2025-10-15,3,9
SEG-075,2024-04-20,2,7
