task_id,segment_id,division,department,type,planned_duration_hrs,actual_duration_hrs,planned_date,completion_date,overdue_flag,overdue_days,overrun_flag
TASK-00060,SEG-024,Mumbai,Electrical,Cable Replacement,4.93,5.18,2024-08-07,2024-08-07,0,0,0
TASK-00061,SEG-024,Mumbai,Electrical,Sleeper Replacement,7.99,7.03,2024-05-04,2024-05-04,0,0,0
TASK-00062,SEG-026,Delhi,Signalling,Weld Repair,3.08,3.14,2024-05-20,2024-05-20,0,0,0
TASK-00063,SEG-026,Delhi,Engineering,Rail Grinding,3.79,5.28,2025-03-31,,1,35,1
TASK-00064,SEG-026,Delhi,Electrical,Catenary Repair,7.14,6.4,2024-02-23,2024-02-23,0,0,0
TASK-00065,SEG-027,Delhi,Electrical,Ballast Cleaning,5.33,5.02,2025-10-04,2025-10-04,0,0,0
TASK-00066,SEG-027,Delhi,Signalling,Cable Replacement,2.58,3.45,2024-06-12,2024-06-12,0,0,1
TASK-00067,SEG-027,Delhi,Signalling,Weld Repair,6.09,6.13,2024-12-30,2024-12-30,0,0,0
TASK-00068,SEG-027,Delhi,Signalling,Signal Testing,2.95,4.25,2024-08-19,2024-08-19,0,0,1
TASK-00069,SEG-028,Delhi,Electrical,Catenary Repair,5.34,5.08,2024-03-03,2024-03-03,0,0,0
TASK-00070,SEG-028,Delhi,Electrical,Catenary Repair,2.56,3.17,2025-11-15,2025-11-15,0,0,1
TASK-00071,SEG-030,Delhi,Signalling,Tamping,6.86,9.01,2024-07-11,2024-07-11,0,0,1
TASK-00072,SEG-030,Delhi,Electrical,Catenary Repair,2.77,3.38,2025-03-31,2025-03-31,0,0,1
TASK-00073,SEG-030,Delhi,Electrical,Rail Grinding,3.11,4.7,2024-08-08,2024-08-08,0,0,1
TASK-00074,SEG-031,Allahabad,Engineering,Ballast Cleaning,4.26,3.87,2024-04-24,2024-04-24,0,0,0
TASK-00075,SEG-032,Allahabad,Electrical,Weld Repair,5.93,5.95,2025-06-12,2025-06-12,0,0,0
TASK-00076,SEG-032,Allahabad,Signalling,Rail Grinding,4.88,4.71,2024-09-17,2024-09-17,0,0,0
TASK-00077,SEG-033,Allahabad,Engineering,Catenary Repair,2.5,2.31,2024-05-18,2024-05-18,0,0,0
TASK-00078,SEG-034,Allahabad,Engineering,Catenary Repair,6.59,5.98,2025-04-27,2025-04-27,0,0,0
TASK-00079,SEG-034,Allahabad,Signalling,Tamping,8.0,7.71,2024-06-29,2024-06-29,0,0,0
TASK-00080,SEG-034,Allahabad,Signalling,Catenary Repair,6.9,5.98,2024-05-26,2024-05-26,0,0,0
TASK-00081,SEG-034,Allahabad,Signalling,Signal Testing,5.04,4.71,2025-05-19,2025-05-19,0,0,0
TASK-00082,SEG-035,Allahabad,Engineering,Weld Repair,4.8,4.19,2024-05-27,2024-05-27,0,0,0
TASK-00083,SEG-036,Mughal Sarai,Engineering,Rail Grinding,2.83,2.61,2025-02-02,2025-02-02,0,0,0
TASK-00084,SEG-036,Mughal Sarai,Engineering,Signal Testing,3.29,3.29,2024-01-20,2024-01-20,0,0,0
TASK-00085,SEG-037,Mughal Sarai,Signalling,Ballast Cleaning,5.51,5.21,2024-09-01,2024-09-01,0,0,0
TASK-00086,SEG-037,Mughal Sarai,Electrical,Tamping,7.15,6.99,2024-10-03,2024-10-03,0,0,0
TASK-00087,SEG-037,Mughal Sarai,Electrical,Axle Counter Calibration,3.62,3.44,2025-07-13,2025-07-13,0,0,0
TASK-00088,SEG-038,Mughal Sarai,Engineering,Weld Repair,2.64,2.29,2024-06-29,2024-06-29,0,0,0
TASK-00089,SEG-038,Mughal Sarai,Engineering,Signal Testing,3.16,3.3,2025-02-20,2025-02-20,0,0,0
TASK-00090,SEG-039,Mughal Sarai,Engineering,Ballast Cleaning,5.57,4.77,2024-05-22,2024-05-22,0,0,0
TASK-00091,SEG-039,Mughal Sarai,Electrical,Rail Grinding,2.32,2.08,2024-03-29,2024-03-29,0,0,0
TASK-00092,SEG-040,Mughal Sarai,Engineering,Weld Repair,6.69,6.43,2025-01-27,2025-01-27,0,0,0
TASK-00093,SEG-040,Mughal Sarai,Electrical,Signal Testing,2.96,2.86,2024-12-24,2024-12-24,0,0,0
TASK-00094,SEG-040,Mughal Sarai,Signalling,Sleeper Replacement,4.02,3.98,2025-02-06,2025-02-06,0,0,0
TASK-00095,SEG-041,Dhanbad,Signalling,Signal Testing,6.87,5.97,2024-08-15,2024-08-15,0,0,0
TASK-00096,SEG-041,Dhanbad,Signalling,Sleeper Replacement,7.0,6.17,2024-06-11,2024-06-11,0,0,0
TASK-00097,SEG-042,Dhanbad,Signalling,Axle Counter Calibration,7.2,6.3,2025-04-07,2025-04-07,0,0,0
TASK-00098,SEG-042,Dhanbad,Electrical,Catenary Repair,4.34,4.25,2025-05-08,2025-05-08,0,0,0
TASK-00099,SEG-042,Dhanbad,Engineering,Weld Repair,6.83,6.26,2024-10-11,2024-10-11,0,0,0
TASK-00100,SEG-043,Dhanbad,Signalling,Sleeper Replacement,6.15,6.19,2024-06-23,2024-06-23,0,0,0
TASK-00101,SEG-043,Dhanbad,Engineering,Sleeper Replacement,3.73,3.21,2025-01-10,2025-01-10,0,0,0
TASK-00102,SEG-044,Dhanbad,Signalling,Axle Counter Calibration,5.7,5.59,2024-03-26,2024-03-26,0,0,0
TASK-00103,SEG-044,Dhanbad,Engineering,Catenary Repair,3.13,3.16,2025-10-24,2025-10-24,0,0,0
TASK-00104,SEG-045,Dhanbad,Engineering,Ballast Cleaning,2.65,3.55,2024-03-11,2024-03-11,0,0,1
TASK-00105,SEG-045,Dhanbad,Electrical,Signal Testing,4.22,3.67,2025-09-09,2025-09-09,0,0,0
TASK-00106,SEG-045,Dhanbad,Signalling,Ballast Cleaning,3.53,4.27,2024-07-06,2024-07-06,0,0,1
TASK-00107,SEG-046,Howrah,Signalling,Rail Grinding,7.85,11.07,2025-09-17,2025-09-17,0,0,1
TASK-00108,SEG-046,Howrah,Electrical,Signal Testing,3.45,3.45,2025-06-08,2025-06-08,0,0,0
TASK-00109,SEG-046,Howrah,Electrical,Sleeper Replacement,7.68,6.93,2025-10-22,2025-10-22,0,0,0
TASK-00110,SEG-046,Howrah,Electrical,Catenary Repair,4.69,4.41,2025-07-29,2025-07-29,0,0,0
TASK-00111,SEG-047,Howrah,Signalling,Catenary Repair,2.8,2.9,2024-09-23,2024-09-23,0,0,0
TASK-00112,SEG-047,Howrah,Electrical,OHE Maintenance,6.39,5.7,2024-02-29,2024-02-29,0,0,0
TASK-00113,SEG-047,Howrah,Engineering,Cable Replacement,3.96,3.83,2025-05-03,2025-05-03,0,0,0
TASK-00114,SEG-047,Howrah,Electrical,Cable Replacement,3.97,4.08,2025-06-24,2025-06-24,0,0,0
TASK-00115,SEG-048,Howrah,Electrical,Signal Testing,7.44,6.59,2025-03-17,2025-03-17,0,0,0
TASK-00116,SEG-048,Howrah,Engineering,Axle Counter Calibration,6.56,9.26,2024-02-28,2024-02-28,0,0,1
TASK-00117,SEG-048,Howrah,Signalling,Signal Testing,6.05,5.86,2025-06-18,2025-06-18,0,0,0
TASK-00118,SEG-048,Howrah,Engineering,Weld Repair,7.08,7.3,2024-04-20,2024-04-20,0,0,0
TASK-00119,SEG-049,Howrah,Electrical,Weld Repair,4.78,6.58,2024-06-07,,1,5,1
TASK-00120,SEG-050,Howrah,Engineering,Signal Testing,2.44,2.49,2024-11-21,2024-11-21,0,0,0
TASK-00121,SEG-050,Howrah,Signalling,Ballast Cleaning,4.2,3.6,2024-02-26,2024-02-26,0,0,0
TASK-00122,SEG-050,Howrah,Signalling,Sleeper Replacement,3.33,2.87,2024-03-19,2024-03-19,0,0,0
TASK-00123,SEG-051,Chennai,Signalling,Sleeper Replacement,5.73,5.68,2024-04-20,2024-04-20,0,0,0
TASK-00124,SEG-051,Chennai,Engineering,Rail Grinding,2.34,2.14,2025-11-04,2025-11-04,0,0,0
TASK-00125,SEG-051,Chennai,Signalling,OHE Maintenance,6.68,6.63,2025-08-04,2025-08-04,0,0,0
TASK-00126,SEG-052,Chennai,Signalling,Ballast Cleaning,2.43,2.99,2024-02-10,,1,7,1
TASK-00127,SEG-052,Chennai,Electrical,Axle Counter Calibration,2.17,2.07,2025-05-11,2025-05-11,0,0,0
TASK-00128,SEG-052,Chennai,Signalling,Ballast Cleaning,2.34,2.36,2025-08-28,2025-08-28,0,0,0
TASK-00129,SEG-052,Chennai,Signalling,Weld Repair,7.83,10.7,2024-08-09,2024-08-09,0,0,1
TASK-00130,SEG-053,Chennai,Signalling,Tamping,3.02,3.13,2025-09-16,2025-09-16,0,0,0
TASK-00131,SEG-053,Chennai,Engineering,Cable Replacement,7.82,8.07,2024-01-17,2024-01-17,0,0,0
TASK-00132,SEG-053,Chennai,Signalling,Tamping,2.31,2.18,2024-10-26,2024-10-26,0,0,0
TASK-00133,SEG-054,Chennai,Engineering,Axle Counter Calibration,4.22,4.25,2024-05-15,2024-05-15,0,0,0
TASK-00134,SEG-054,Chennai,Electrical,Signal Testing,5.27,4.48,2024-03-14,2024-03-14,0,0,0
TASK-00135,SEG-054,Chennai,Engineering,Tamping,2.25,2.29,2025-04-09,2025-04-09,0,0,0
TASK-00136,SEG-054,Chennai,Engineering,OHE Maintenance,6.5,8.1,2024-06-02,2024-06-02,0,0,1
TASK-00137,SEG-055,Chennai,Electrical,Tamping,3.91,3.35,2024-02-12,2024-02-12,0,0,0
TASK-00138,SEG-055,Chennai,Electrical,Catenary Repair,6.4,6.45,2024-03-10,2024-03-10,0,0,0
TASK-00139,SEG-056,Renigunta,Engineering,Cable Replacement,7.5,7.15,2025-01-26,2025-01-26,0,0,0
TASK-00140,SEG-056,Renigunta,Engineering,Axle Counter Calibration,7.03,10.16,2024-02-10,,1,55,1
TASK-00141,SEG-057,Renigunta,Engineering,Weld Repair,2.9,3.61,2025-07-26,,1,54,1
TASK-00142,SEG-057,Renigunta,Electrical,Weld Repair,5.04,4.72,2024-12-03,2024-12-03,0,0,0
TASK-00143,SEG-058,Renigunta,Engineering,Sleeper Replacement,2.12,2.15,2025-05-11,2025-05-11,0,0,0
TASK-00144,SEG-058,Renigunta,Signalling,Sleeper Replacement,4.34,4.53,2025-09-01,2025-09-01,0,0,0
TASK-00145,SEG-059,Renigunta,Engineering,Signal Testing,7.07,7.13,2024-03-26,2024-03-26,0,0,0
TASK-00146,SEG-059,Renigunta,Engineering,Axle Counter Calibration,2.85,2.86,2024-10-28,2024-10-28,0,0,0
TASK-00147,SEG-060,Guntakal,Engineering,Cable Replacement,3.08,4.27,2025-01-18,,1,37,1
TASK-00148,SEG-060,Guntakal,Signalling,Weld Repair,7.06,6.22,2024-05-07,2024-05-07,0,0,0
TASK-00149,SEG-061,Guntakal,Signalling,Rail Grinding,6.14,6.0,2024-04-02,2024-04-02,0,0,0
TASK-00150,SEG-061,Guntakal,Engineering,Cable Replacement,6.67,6.24,2024-04-18,2024-04-18,0,0,0
TASK-00151,SEG-062,Guntakal,Signalling,Ballast Cleaning,5.69,8.73,2024-07-18,,1,32,1
TASK-00152,SEG-064,Solapur,Signalling,Signal Testing,7.9,8.29,2024-05-05,2024-05-05,0,0,0
TASK-00153,SEG-064,Solapur,Signalling,Axle Counter Calibration,5.83,5.81,2024-11-24,2024-11-24,0,0,0
TASK-00154,SEG-065,Solapur,Engineering,Axle Counter Calibration,7.62,7.71,2024-05-29,2024-05-29,0,0,0
TASK-00155,SEG-065,Solapur,Signalling,Weld Repair,3.54,3.46,2024-11-24,2024-11-24,0,0,0
TASK-00156,SEG-065,Solapur,Signalling,Axle Counter Calibration,6.61,6.0,2024-11-08,2024-11-08,0,0,0
TASK-00157,SEG-066,Solapur,Signalling,Rail Grinding,5.77,5.12,2024-12-16,2024-12-16,0,0,0
TASK-00158,SEG-066,Solapur,Electrical,Catenary Repair,2.93,3.87,2024-01-29,,1,25,1
TASK-00159,SEG-066,Solapur,Signalling,Weld Repair,7.39,7.74,2025-01-02,2025-01-02,0,0,0
TASK-00160,SEG-066,Solapur,Engineering,Ballast Cleaning,7.88,8.21,2024-05-19,2024-05-19,0,0,0
TASK-00161,SEG-067,Solapur,Signalling,OHE Maintenance,4.5,4.71,2025-01-31,2025-01-31,0,0,0
TASK-00162,SEG-067,Solapur,Electrical,Sleeper Replacement,6.9,6.79,2025-03-01,2025-03-01,0,0,0
TASK-00163,SEG-068,Pune,Electrical,Catenary Repair,5.99,6.26,2024-06-01,2024-06-01,0,0,0
TASK-00164,SEG-068,Pune,Electrical,Axle Counter Calibration,2.68,2.62,2024-01-01,2024-01-01,0,0,0
TASK-00165,SEG-068,Pune,Engineering,Rail Grinding,2.47,2.33,2025-09-18,2025-09-18,0,0,0
TASK-00166,SEG-068,Pune,Engineering,OHE Maintenance,7.26,8.94,2024-11-14,2024-11-14,0,0,1
TASK-00167,SEG-069,Pune,Electrical,Catenary Repair,7.03,6.47,2025-01-24,2025-01-24,0,0,0
TASK-00168,SEG-069,Pune,Signalling,Axle Counter Calibration,5.29,7.5,2024-06-13,2024-06-13,0,0,1
TASK-00169,SEG-070,Pune,Engineering,Cable Replacement,6.65,6.85,2025-08-13,2025-08-13,0,0,0
TASK-00170,SEG-070,Pune,Electrical,Catenary Repair,2.14,2.17,2025-01-08,2025-01-08,0,0,0
TASK-00171,SEG-070,Pune,Engineering,Catenary Repair,7.23,6.2,2024-05-03,2024-05-03,0,0,0
TASK-00172,SEG-071,Pune,Engineering,Ballast Cleaning,2.18,1.97,2024-03-04,2024-03-04,0,0,0
TASK-00173,SEG-071,Pune,Engineering,Rail Grinding,2.83,2.48,2024-02-06,2024-02-06,0,0,0
TASK-00174,SEG-072,Mumbai,Engineering,Cable Replacement,7.18,7.35,2025-01-26,2025-01-26,0,0,0
TASK-00175,SEG-072,Mumbai,Signalling,Cable Replacement,6.17,8.17,2024-08-19,,1,8,1
TASK-00176,SEG-072,Mumbai,Signalling,Cable Replacement,7.16,7.31,2024-08-22,2024-08-22,0,0,0
TASK-00177,SEG-072,Mumbai,Engineering,Axle Counter Calibration,2.65,2.76,2024-10-09,2024-10-09,0,0,0
TASK-00178,SEG-073,Mumbai,Signalling,Sleeper Replacement,5.55,7.5,2024-05-17,2024-05-17,0,0,1
TASK-00179,SEG-073,Mumbai,Electrical,Ballast Cleaning,7.33,6.52,2025-01-25,2025-01-25,0,0,0
TASK-00180,SEG-073,Mumbai,Electrical,Weld Repair,7.23,10.11,2025-06-02,2025-06-02,0,0,1
TASK-00181,SEG-073,Mumbai,Electrical,Rail Grinding,6.36,6.56,2025-07-07,2025-07-07,0,0,0
TASK-00182,SEG-075,Mumbai,Signalling,Sleeper Replacement,4.07,4.05,2024-12-14,2024-12-14,0,0,0
TASK-00183,SEG-075,Mumbai,Engineering,Tamping,2.13,3.1,2024-05-05,2024-05-05,0,0,1
